,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
88,Садок рыболовный для рыбы,13647421,61,2900,1131,Ваш Выбор,100222,0,0,https://www.wildberries.ru/catalog/13647421/detail.aspx?targetUrl=BP
89,Технопланктон Трава 55 г 15 шт 825 г убийца толстолоба,13449940,82,3888,699,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/13449940/detail.aspx?targetUrl=BP
90,Прикормка Flat Method 2 пакета по 1 кг,81475727,54,1144,526,POSEYDON GROUP,903274,4,5,https://www.wildberries.ru/catalog/81475727/detail.aspx?targetUrl=BP
91,Леска рыболовная карповая,66959382,30,1390,973,MIKADO,12358,2,5,https://www.wildberries.ru/catalog/66959382/detail.aspx?targetUrl=BP
92,Плавающие мини бойлы микс прикормка для ловли рыбы 8 10 мм 6…,13249977,54,1514,696,CARPOMANIYA Карпомания,208468,4,4,https://www.wildberries.ru/catalog/13249977/detail.aspx?targetUrl=BP
93,Монтаж Убийца толстолоба №4 Отличного клева,14411913,70,1714,514,Отличного клёва,95207,0,0,https://www.wildberries.ru/catalog/14411913/detail.aspx?targetUrl=BP
94,Садок рыболовный прорезиненный для рыбы 4 м,101551393,25,6670,5002,Argentum-Fishing - доступная рыбалка,19098527,0,0,https://www.wildberries.ru/catalog/101551393/detail.aspx?targetUrl=BP
95,удилище,112123826,50,8000,4000,рыболовная демократия,1149027,0,0,https://www.wildberries.ru/catalog/112123826/detail.aspx?targetUrl=BP
96,Набор для рыбалки,85820199,25,5300,3975,Amone RA,799659,6,3,https://www.wildberries.ru/catalog/85820199/detail.aspx?targetUrl=BP
97,Катушка рыболовная Bait Surf 8000,144665470,21,5000,3950,Alpha,1728,0,0,https://www.wildberries.ru/catalog/144665470/detail.aspx?targetUrl=BP
98,Тонущие бойлы для ловли амура наживка насадка 14 м 750 г,13993651,31,2625,1811,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/13993651/detail.aspx?targetUrl=BP
99,Катушка рыболовная Rock Catcher 5000,144672869,45,3500,1925,Alpha,1728,0,0,https://www.wildberries.ru/catalog/144672869/detail.aspx?targetUrl=BP
100,садок,13452746,45,3500,1925,Ваш Выбор,100222,1,3,https://www.wildberries.ru/catalog/13452746/detail.aspx?targetUrl=BP
101,Ассорти технопланктон гейзер 12 штук Г55х2-1 6 вид по 2 уп,81684957,78,5654,1243,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/81684957/detail.aspx?targetUrl=BP
102,Ассорти технопланктон Г55х2-4 гейзер 6 сортов по 2 уп 55г,81684958,78,5654,1243,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/81684958/detail.aspx?targetUrl=BP
103,Тонущие бойлы опарыш чеснок насадка 20мм 750г,31145107,54,2628,1208,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/31145107/detail.aspx?targetUrl=BP
104,Тонущие бойлы тутти фрутти прикорм для ловли рыбы приманка р…,13986959,54,2628,1208,CARPOMANIYA Карпомания,208468,1,5,https://www.wildberries.ru/catalog/13986959/detail.aspx?targetUrl=BP
105,Тонущие бойлы кукуруза прикорм для ловли рыбы приманка рыбол…,13986962,54,2628,1208,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/13986962/detail.aspx?targetUrl=BP
106,Тонущие бойлы клубника 14 мм 750 г приманка для рыбы,13993646,54,2625,1207,CARPOMANIYA Карпомания,208468,3,4,https://www.wildberries.ru/catalog/13993646/detail.aspx?targetUrl=BP
107,Тонущие бойлы кукуруза прикорм для ловли рыб 14 м 750 г,13993650,54,2625,1207,CARPOMANIYA Карпомания,208468,3,4,https://www.wildberries.ru/catalog/13993650/detail.aspx?targetUrl=BP
108,Тонущие бойлы опарыш чеснок рыболовный приманка для рыбы при…,31145106,54,2625,1207,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/31145106/detail.aspx?targetUrl=BP
109,"Набор для рыбалки, телескопическая удочка Рыболовные снасти",144743329,38,2150,1333,Rybolov Shop,398202,0,0,https://www.wildberries.ru/catalog/144743329/detail.aspx?targetUrl=BP
110,Ассорти технопланктон Т55х2-1 6 сортов по 2 уп 55г,39872225,78,4636,1019,Гидропланктон,85106,1,5,https://www.wildberries.ru/catalog/39872225/detail.aspx?targetUrl=BP
111,Пылящие бойлы кукуруза прикормка для ловли рыбы приманка наж…,13479853,54,2205,1014,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/13479853/detail.aspx?targetUrl=BP
112,Пылящие бойлы мед прикормка для ловли рыбы 20 мм 750 гр,114659356,54,2205,1014,CARPOMANIYA Карпомания,208468,0,0,https://www.wildberries.ru/catalog/114659356/detail.aspx?targetUrl=BP
113,Рыболовная безынерционная катушка для спиннинга 3000,87174799,50,2220,1110,свияга,220481,3,5,https://www.wildberries.ru/catalog/87174799/detail.aspx?targetUrl=BP
114,Рыболовная безынерционная катушка для спиннинга 3000,87174798,51,2220,1087,свияга,220481,3,5,https://www.wildberries.ru/catalog/87174798/detail.aspx?targetUrl=BP
115,Рыболовная безынерционная катушка для спиннинга 3000,87174797,52,2220,1065,свияга,220481,3,5,https://www.wildberries.ru/catalog/87174797/detail.aspx?targetUrl=BP
116,Леска для рыбалки карповая,74574096,35,1890,1228,CAIMAN,61021,2,5,https://www.wildberries.ru/catalog/74574096/detail.aspx?targetUrl=BP
117,БЫСТРЫЙ Оригинал технопланктон для ловли толстолобика 80 г х…,31243544,77,3888,894,Гидропланктон,85106,0,0,https://www.wildberries.ru/catalog/31243544/detail.aspx?targetUrl=BP
118,Леска для рыбалки карповая,144118932,30,1490,1043,CAIMAN,61021,0,0,https://www.wildberries.ru/catalog/144118932/detail.aspx?targetUrl=BP
119,"Леска для рыбалки карповая 300 м 0,32 мм 3D Camo Brown",143345361,30,1490,1043,CAIMAN,61021,0,0,https://www.wildberries.ru/catalog/143345361/detail.aspx?targetUrl=BP
120,Леска для рыбалки карповая,144119952,30,1490,1043,CAIMAN,61021,0,0,https://www.wildberries.ru/catalog/144119952/detail.aspx?targetUrl=BP
