,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
76,Галстук Киры Йошикаге невероятные приключения джо джо,109556742,75,2200,550,Crazy Texture,62159880,40,5,https://www.wildberries.ru/catalog/109556742/detail.aspx?targetUrl=BP
77,❄️🎄☃️Варежки детские зимние непромокаемые для мальчика,117602372,59,2755,1129,Чудо-Кроха,3874,531,5,https://www.wildberries.ru/catalog/117602372/detail.aspx?targetUrl=BP
78,"Палантин, шарф, теплый, однотонный, подарок ""Грациозность""",9946338,53,2090,982,Платочная мануфактура Россия,44386,1237,5,https://www.wildberries.ru/catalog/9946338/detail.aspx?targetUrl=BP
79,"Палантин, шарф, теплый, однотонный, подарок ""Грациозность""",9946340,62,2090,794,Платочная мануфактура Россия,44386,1237,5,https://www.wildberries.ru/catalog/9946340/detail.aspx?targetUrl=BP
80,"Варежки детские зимние непромокаемые теплые, краги, рукавицы",139735675,87,8400,1092,Imojo,1957,128,5,https://www.wildberries.ru/catalog/139735675/detail.aspx?targetUrl=BP
81,"Белые банты резинки девочке в школу, цветы в волосы",12709011,64,2900,1044,Mi&Ma,144438,87,5,https://www.wildberries.ru/catalog/12709011/detail.aspx?targetUrl=BP
82,Варежки зимние детские непромокаемые для мальчика девочки,6621261,59,2755,1129,Чудо-Кроха,3874,769,5,https://www.wildberries.ru/catalog/6621261/detail.aspx?targetUrl=BP
83,Бижутерия Набор для создания браслетов Подарок для девочки,127046540,84,9000,1440,Miniza,647180,43,5,https://www.wildberries.ru/catalog/127046540/detail.aspx?targetUrl=BP
84,Шарф Гари Потер шарф детский зимний,110217892,49,1277,651,Siberia24,236513,335,5,https://www.wildberries.ru/catalog/110217892/detail.aspx?targetUrl=BP
85,"Палантин, шарф теплый, яркий, красивый подарок ""Живопись""",14143481,53,2410,1132,Платочная мануфактура Россия,44386,1572,5,https://www.wildberries.ru/catalog/14143481/detail.aspx?targetUrl=BP
86,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",16020891,66,1990,676,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/16020891/detail.aspx?targetUrl=BP
87,Набор для творчества создания украшений браслетов и ожерелий,141394377,70,9000,2700,Magic Kitty,310492056,2,5,https://www.wildberries.ru/catalog/141394377/detail.aspx?targetUrl=BP
88,Браслет для шармов на руку в подарок девочке набор бижутерии,114902788,63,5500,2035,Cheri Cherie,1453201,191,5,https://www.wildberries.ru/catalog/114902788/detail.aspx?targetUrl=BP
89,Подарочный набор для творчества создание браслетов украшений,79960258,74,3330,865,storiz,57597,349,5,https://www.wildberries.ru/catalog/79960258/detail.aspx?targetUrl=BP
90,Варежки детские зимние непромокаемые,45592861,85,8900,1335,Maxval,1562,351,5,https://www.wildberries.ru/catalog/45592861/detail.aspx?targetUrl=BP
91,"Браслет, Набор для создания браслетов, Бижутерия для девочки",133447979,53,3940,1851,Lalata,16891145,85,5,https://www.wildberries.ru/catalog/133447979/detail.aspx?targetUrl=BP
92,Галстук Киры Йошикаге невероятные приключения джо джо,109556744,75,2200,550,Crazy Texture,62159880,40,5,https://www.wildberries.ru/catalog/109556744/detail.aspx?targetUrl=BP
93,"Палантин, шарф теплый, яркий, красивый подарок ""Живопись""",9930390,53,2110,991,Платочная мануфактура Россия,44386,1572,5,https://www.wildberries.ru/catalog/9930390/detail.aspx?targetUrl=BP
94,Перчатки непромокаемые детские,47720301,61,3200,1248,Зимовичок,49514,129,5,https://www.wildberries.ru/catalog/47720301/detail.aspx?targetUrl=BP
95,"Палантин, шарф в клетку, теплый, стильный подарок ""Валенсия""",16020888,56,1990,875,Платочная мануфактура Россия,44386,5470,5,https://www.wildberries.ru/catalog/16020888/detail.aspx?targetUrl=BP
96,❄️🎄☃️Варежки детские зимние непромокаемые для девочки,15995027,59,2755,1129,Чудо-Кроха,3874,531,5,https://www.wildberries.ru/catalog/15995027/detail.aspx?targetUrl=BP
97,"Варежки детские зимние непромокаемые теплые, краги, рукавицы",45912371,85,8400,1260,Maxval,1562,233,4,https://www.wildberries.ru/catalog/45912371/detail.aspx?targetUrl=BP
98,"Палантин, шарф теплый, яркий, красивый подарок ""Живопись""",9930394,55,2410,1084,Платочная мануфактура Россия,44386,1572,5,https://www.wildberries.ru/catalog/9930394/detail.aspx?targetUrl=BP
99,Набор для создания браслетов украшений для девочек детей,49684722,70,2633,789,HARMONY BIJOU,1366845,395,5,https://www.wildberries.ru/catalog/49684722/detail.aspx?targetUrl=BP
100,Набор для создания браслетов новые украшения для девочек,47552645,45,2000,1100,BOOMkids,1310292,1542,5,https://www.wildberries.ru/catalog/47552645/detail.aspx?targetUrl=BP
101,Набор для создания украшений подарок на 14 февраля серьги,134558416,40,2500,1500,BoNiki,1237901,166,5,https://www.wildberries.ru/catalog/134558416/detail.aspx?targetUrl=BP
102,Шарф детский вязаный двухсторонний зимний длинный с принтом,139351416,70,3150,945,AMODEI,270413,13,5,https://www.wildberries.ru/catalog/139351416/detail.aspx?targetUrl=BP
103,"Палантин, шарф теплый, яркий, красивый подарок ""Живопись""",14322526,53,2210,1038,Платочная мануфактура Россия,44386,1572,5,https://www.wildberries.ru/catalog/14322526/detail.aspx?targetUrl=BP
104,"Палантин, шарф легкий, однотонный, стильный подарок ""Грация""",26025814,60,1890,756,Платочная мануфактура Россия,44386,1718,5,https://www.wildberries.ru/catalog/26025814/detail.aspx?targetUrl=BP
