,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
178,Ботинки,53205930,58,13690,5749,GUESS,398,17,4,https://www.wildberries.ru/catalog/53205930/detail.aspx?targetUrl=BP
179,Кроссовки CARNABY EVO 220 1 SUC,12180034,61,6480,2527,Lacoste,524,10,5,https://www.wildberries.ru/catalog/12180034/detail.aspx?targetUrl=BP
180,Сандалии,29022190,54,13490,6205,Braccialini,7740,10,3,https://www.wildberries.ru/catalog/29022190/detail.aspx?targetUrl=BP
181,Кеды STRAIGHTSET 120 1 CUC,12492355,61,6580,2566,Lacoste,524,40,5,https://www.wildberries.ru/catalog/12492355/detail.aspx?targetUrl=BP
182,Кеды GAZON CROCO 220 1 CUC,12298150,61,5980,2332,Lacoste,524,31,5,https://www.wildberries.ru/catalog/12298150/detail.aspx?targetUrl=BP
183,Сандалии,19566266,54,13990,6435,Calvin Klein,154,24,4,https://www.wildberries.ru/catalog/19566266/detail.aspx?targetUrl=BP
184,Кеды,7165433,61,8480,3307,Lacoste,524,139,4,https://www.wildberries.ru/catalog/7165433/detail.aspx?targetUrl=BP
185,Набор для ухода за обувью,45086058,48,3500,1820,UGG Australia,3287,1,3,https://www.wildberries.ru/catalog/45086058/detail.aspx?targetUrl=BP
186,Сандалии,29001445,62,15990,6076,DKNY,1511,18,3,https://www.wildberries.ru/catalog/29001445/detail.aspx?targetUrl=BP
187,Ботинки на массивной подошве,102456386,62,12090,4594,JUST COUTURE,2301,12,5,https://www.wildberries.ru/catalog/102456386/detail.aspx?targetUrl=BP
188,Кроссовки WILDCARD 120 1 SMA,11934618,61,14980,5842,Lacoste,524,12,3,https://www.wildberries.ru/catalog/11934618/detail.aspx?targetUrl=BP
189,Ботинки,30423029,62,11390,4328,GUESS,398,9,4,https://www.wildberries.ru/catalog/30423029/detail.aspx?targetUrl=BP
190,Туфли,119203971,50,13000,6500,Jonak,42968,3,5,https://www.wildberries.ru/catalog/119203971/detail.aspx?targetUrl=BP
191,Кеды GRIPSHOT 220 1 G CMA,12298147,61,9480,3697,Lacoste,524,6,5,https://www.wildberries.ru/catalog/12298147/detail.aspx?targetUrl=BP
192,Сандалии,30419102,62,13990,5316,GUESS,398,4,4,https://www.wildberries.ru/catalog/30419102/detail.aspx?targetUrl=BP
193,Ботинки зимние из натурального нубука кожи угги,138723905,67,17600,5808,UGG Australia,3287,7,3,https://www.wildberries.ru/catalog/138723905/detail.aspx?targetUrl=BP
194,Кеды GRIPSHOT CHUKKA 01201 CMA,14189001,55,12980,5841,Lacoste,524,115,4,https://www.wildberries.ru/catalog/14189001/detail.aspx?targetUrl=BP
195,Сандалии,29022214,54,13490,6205,Braccialini,7740,14,4,https://www.wildberries.ru/catalog/29022214/detail.aspx?targetUrl=BP
196,Ботинки,40831893,58,10990,4615,GUESS,398,3,4,https://www.wildberries.ru/catalog/40831893/detail.aspx?targetUrl=BP
197,Кеды,11877308,67,19290,6365,Master of Arts,65150,3,5,https://www.wildberries.ru/catalog/11877308/detail.aspx?targetUrl=BP
198,Слипоны,7228325,73,9980,2694,Lacoste,524,13,3,https://www.wildberries.ru/catalog/7228325/detail.aspx?targetUrl=BP
